"","Fire_ID","avg_cmi","avg_vpd"
"286","NIP14_2009_1714",3.03,4.08666666666667
"287","SLK26_2009_1715",3.78,4.34
"288","RED10_2009_1716",3.31,4.39666666666667
"289","NIP10_2009_1717",3.52,4.12
"290","NIP12_2009_1718",3.08,4.29666666666667
"291","THU21_2009_1719",4.03,3.99
"292","COC16_2009_1720",3.84,4.70666666666667
"293","RED7_2009_1725",3.94,3.73
"294","SLK25_2009_1726",3.83,4.29
"295","SLK24_2009_1727",4.24,4.29666666666667
"296","CHA10_2010_1589",-2.21,5.925
"297","SLK63_2010_1729",1.41,6.12
"298","SLK49_2010_1730",0.1,5.42
"299","NIP41_2010_1731",-0.47,5.20333333333333
"300","SLK65_2010_1732",1.12,5.80666666666667
"301","SLK64_2010_1733",1.39,5.35
"302","NIP27_2010_1734",0.54,4.505
"303","RED32_2010_1751",2.38,4.87
"304","NIP45_2010_1752",-0.67,5.37666666666667
"305","RED44_2010_1753",3.96,6.162
"306","RED26_2010_1755",3.76,4.865
"307","RED25_2010_1756",3.96,5.035
"308","NIP35_2010_1767",0.49,5.28333333333333
"309","HEA31_2010_1768",-2.56,6.63
"310","HEA20_2010_1770",-3.94,7.01
"311","FOR3_2010_1771",-1.1,4.495
"312","KLK5_2010_1772",-1.79,5.89
"313","TIM9_2010_1773",-1.76,5.985
"314","TIM7_2010_1774",-2,6.12
"315","WAW18_2010_1775",-1.23,5.385
"316","TIM13_2010_1776",-1.54,6.015
"317","SLK84_2011_1669",0.63,5.166
"318","RED51_2011_1670",1.22,5.292
"319","RED36_2011_1671",1.2,5.232
"320","SLK40_2011_1693",0.98,4.52666666666667
"321","SLK46_2011_1694",0.99,4.51333333333333
"322","SLK45_2011_1695",-0.26,5.2675
"323","NIP34_2011_1696",-0.12,5.43
"324","SLK79_2011_1697",-0.34,5.695
"325","NIP47_2011_1698",0.11,5.6325
"326","SLK75_2011_1699",0.36,5.96
"327","SLK147_2011_1700",0.97,5.52714285714286
"328","RED27_2011_1701",1.03,5.218
"329","RED91_2011_1702",1.05,5.304
"330","RED35_2011_1721",0.51,6.09
"331","RED121_2011_1722",1.24,5.24
"332","RED66_2011_1723",0.5,5.27
"333","RED67_2011_1724",0.45,5.246
"334","NIP54_2011_1735",0.96,5.274
"335","SLK103_2011_1736",0.8,5.33
"336","SLK101_2011_1737",0.88,5.234
"337","RED93_2011_1738",1.18,5.248
"338","SLK57_2011_1739",1.16,5.168
"339","SLK132_2011_1740",0.62,6.216
"340","SLK55_2011_1741",1.1,5.198
"341","RED111_2011_1742",1.16,5.258
"342","RED113_2011_1743",1.14,5.228
"343","RED112_2011_1744",1.15,5.25
"344","SLK71_2011_1745",0.53,5.44
"345","THU57_2011_1746",-1.04,6.18333333333333
"346","NIP94_2011_1747",-1.62,6.09333333333333
"347","KEN91_2011_1748",-0.28,6.045
"348","WAW12_2011_1749",1.43,4.4525
"349","TIM34_2011_1750",0.01,6.62857142857143
"350","RED65_2011_1777",0.49,5.308
"351","RED114_2011_1778",0.61,5.384
"352","RED107_2011_1779",0.71,5.8275
"353","RED118_2011_1780",1.03,5.08
"354","SLK85_2011_1781",-0.49,5.5425
"355","SLK87_2011_1782",-0.22,5.88
"356","RED100_2011_1783",1.05,5.084
"357","RED54_2011_1784",1.16,5.148
"358","SLK48_2011_1785",-0.44,5.665
"359","SLK88_2011_1786",0.29,5.835
"360","RED55_2011_1787",1.17,5.256
"361","SLK47_2011_1788",0.91,5.17
"362","RED32_2011_1789",1.01,5.278
"363","RED123_2011_1790",0.72,5.192
"364","NIP40_2011_1791",0.72,5.9375
"365","RED53_2011_1792",1.32,5.216
"366","RED120_2011_1793",0.55,5.248
"367","RED122_2011_1794",1.14,5.258
"368","RED23_2011_1795",0.62,5.264
"369","RED24_2011_1796",0.88,5.154
"370","RED22_2011_1797",0.9,5.172
"371","SLK38_2011_1798",0.7,5.32
"372","RED58_2011_1799",1.02,5.29
"373","RED82_2011_1800",1.11,5.298
"374","RED73_2011_1801",0.67,5.054
"375","RED101_2011_1802",0.46,6.01
"376","RED106_2011_1803",1.18,5.268
"377","RED96_2011_1804",1.06,5.302
"378","SLK50_2011_1805",0.67,5.182
"379","RED26_2011_1806",1.01,5.248
"380","SLK70_2011_1807",0.25,5.97
"381","SLK51_2011_1808",0.71,5.186
"382","RED29_2011_1809",1.17,5.27
"383","SLK76_2011_1810",1.08,5.196
"384","NIP55_2011_1811",1.06,5.172
"385","RED103_2011_1812",0.69,6.0675
"386","RED50_2011_1813",1.23,5.28
"387","RED52_2011_1814",1.22,5.242
"388","SLK60_2011_1815",0.88,5.25
"389","RED72_2011_1816",0.44,5.318
"390","SLK95_2011_1817",1.05,5.194
"391","RED85_2011_1818",0.47,5.406
"392","SLK61_2011_1819",0.97,5.21
"393","SLK64_2011_1820",0.9,5.22
"394","SLK35_2011_1821",0.23,4.865
"395","SLK65_2011_1822",0.5,5.366
"396","RED84_2011_1823",0.64,5.256
"397","SLK82_2011_1824",-0.59,6.4675
"398","THU58_2011_1825",-0.4,5.646
"399","THU50_2011_1826",-0.6,5.764
"400","COC25_2011_1827",1.05,5.57166666666667
"401","THU51_2011_1828",-1.33,6.315
"402","THU33_2011_1829",-1.52,5.86333333333333
"403","THU80_2011_1830",-0.88,6.17857142857143
"404","THU22_2011_1831",0.96,3.95666666666667
"405","KEN27_2011_1832",0.33,5.224
"406","FOR42_2011_1834",0.6,6.25833333333333
"407","NIP66_2011_1835",0.19,5.32166666666667
"408","FOR17_2011_1836",1.82,5.664
"409","SAU20_2011_1837",2.92,5.295
"410","RED124_2011_1958",-0.3,6.01333333333333
"411","RED103_2012_1757",-0.11,6.89
"412","RED41_2012_1758",-0.44,6.84666666666667
"413","SLK73_2012_1759",-0.54,6.75
"414","SLK85_2012_1760",-0.13,6.21333333333333
"415","NIP104_2012_1761",-0.04,6.916
"416","NIP59_2012_1762",0.8,6.85666666666667
"417","NIP49_2012_1763",0.41,5.52666666666667
"418","NIP63_2012_1764",1.58,5.9825
"419","SLK26_2012_1765",2.3,5.565
"420","SLK72_2012_1766",-0.17,6.90666666666667
"421","NIP24_2012_1838",4.91,5.72
"422","RED69_2012_1839",-0.48,6.95333333333333
"423","SLK101_2012_1840",-0.29,6.81
"424","KLK8_2012_1841",-4.15,6.45
"425","RED53_2012_1842",-0.53,6.83666666666667
"426","RED61_2012_1843",-0.27,6.8
"427","RED49_2012_1844",-0.31,7.12333333333333
"428","RED57_2012_1845",-0.38,7.04333333333333
"429","SLK91_2012_1846",0.43,6.99333333333333
"430","NIP60_2012_1848",1.19,6.474
"431","RED28_2012_1849",1.4,5.73
"432","SLK32_2012_1850",4.69,5.785
"433","SLK74_2012_1851",-0.41,6.75666666666667
"434","TIM9_2012_1852",-0.95,5.22
"435","KEN103_2012_1853",-2.86,7.962
"436","RED94_2012_1854",-1.12,6.68
"437","SLK29_2012_1855",1.71,5.74
