"","Fire_ID","lat","long","el","FIRE_START","Fire_Year","StartBurnDay","interp_date","month","dmc","ffmc","dc"
"387","RED29_2011_1809",52.64236744,-93.59273987,333,2011-07-04,2011,2011-07-07,2011-07-07,7,47.4473617863438,66.9169518403611,255.597920958385
"388","SLK76_2011_1810",52.58833986,-91.67998198,353.0561798,2011-07-10,2011,2011-07-15,2011-07-15,7,56.4111455605932,88.0191628553909,303.228113235965
"389","NIP55_2011_1811",52.18568004,-88.66075974,274.5187888,2011-07-18,2011,2011-07-21,2011-07-21,7,18.6313278113942,25.600201259469,234.95006207738
"390","RED103_2011_1812",52.18363955,-92.73688936,386.747807,2011-07-16,2011,2011-07-16,2011-07-16,7,41.8799016836055,91.7380671372154,313.113834036118
"391","RED50_2011_1813",52.12090307,-93.0225063,390.6263293,2011-07-04,2011,2011-07-16,2011-07-16,7,35.392042450085,91.1850184712581,312.931619532315
"392","RED52_2011_1814",52.10194224,-92.84791459,381.7119824,2011-07-04,2011,2011-07-06,2011-07-06,7,45.6817697619755,85.3759448252654,239.785292520377
"393","SLK60_2011_1815",52.06864477,-90.59524149,378.2313898,2011-06-05,2011,2011-07-09,2011-07-09,7,48.0017661356955,75.2386891683394,243.094776601961
"394","RED72_2011_1816",51.93114951,-94.96780991,331.2978645,2011-07-04,2011,2011-07-18,2011-07-18,7,78.7455214914535,91.3840767451608,328.265978345353
"395","SLK95_2011_1817",51.72684508,-92.04056817,419.7205176,2011-07-18,2011,2011-07-18,2011-07-18,7,58.1077120255224,88.279339081617,311.075847302603
"396","RED85_2011_1818",51.7157493,-94.8127303,335,2011-07-04,2011,2011-07-12,2011-07-12,7,58.0473155402658,85.1785456754087,257.897236929736
"397","SLK61_2011_1819",51.52196958,-92.36688529,419.8795404,2011-07-04,2011,2011-07-07,2011-07-07,7,66.8654993134165,81.8220284139227,220.360985943843
"398","SLK64_2011_1820",51.48094455,-92.09107503,426.4680535,2011-07-04,2011,2011-07-07,2011-07-07,7,82.321681034729,85.6419687214506,219.136398047872
"399","SLK35_2011_1821",51.20652143,-89.8110079,372.0859171,2011-06-06,2011,2011-06-15,2011-06-15,6,37.5977919017319,91.9027093697734,93.3598395039479
"400","SLK65_2011_1822",51.41660954,-90.77686433,395.0345212,2011-07-04,2011,2011-07-04,2011-07-04,7,55.3192946759589,92.8145003835162,202.994678231393
"401","RED84_2011_1823",51.2153147,-92.1477942,395,2011-07-10,2011,2011-07-12,2011-07-12,7,65.1793489760054,83.3625955460081,241.616195669072
"402","SLK82_2011_1824",51.20917571,-88.96991187,341.2911534,2011-07-09,2011,2011-07-15,2011-07-15,7,35.0677495436862,87.3390497240866,252.848742278729
"403","THU58_2011_1825",50.91046615,-89.73041941,387.3921201,2011-07-29,2011,2011-07-29,2011-07-29,7,33.2151483663853,81.3749748407305,303.232006899292
"404","THU50_2011_1826",50.82481434,-89.62948049,363.4827068,2011-07-20,2011,2011-07-23,2011-07-23,7,46.4727351299947,85.5513182953939,295.068061342986
"405","COC25_2011_1827",50.58076056,-79.733001,178.5541667,2011-08-08,2011,2011-08-10,2011-08-10,8,30.1929706834928,42.8381378243003,300.52241308102
"406","THU51_2011_1828",50.56413375,-89.24839921,362.7283763,2011-07-20,2011,2011-08-01,2011-08-01,8,36.9227256783663,89.984158345966,345.195101525791
"407","THU33_2011_1829",50.4698364,-88.78942583,360.1289344,2011-06-07,2011,2011-06-07,2011-06-07,6,18.4703748549136,82.5324061768055,99.1425256816081
"408","THU80_2011_1830",50.46144455,-90.00123687,401.7028766,2011-08-12,2011,2011-09-04,2011-09-04,9,9.54308038258403,24.8812626798955,363.6312154041
"409","THU22_2011_1831",50.2516697,-90.14040337,436.2182722,2011-05-19,2011,2011-05-19,2011-05-19,5,33.0067033373895,92.6612370594373,64.654684445431
"410","KEN27_2011_1832",50.23293825,-93.59157453,401.8013699,2011-07-09,2011,2011-07-09,2011-07-09,7,25.6796321778315,59.1560857076104,167.139427250357
"411","FOR42_2011_1834",48.22393109,-91.4787593,466.8742038,2011-08-28,2011,2011-08-28,2011-08-28,8,25.3928875940993,90.7449652371754,304.248250792577
"412","NIP66_2011_1835",49.42165134,-86.60602679,388.3062645,2011-07-25,2011,2011-08-01,2011-08-01,8,29.348268955763,90.9445836172536,278.787243919109
"413","FOR17_2011_1836",48.16795604,-91.39430649,434.1680605,2011-07-20,2011,2011-07-20,2011-07-20,7,19.6730837425778,67.0663724016236,178.358735508125
"414","NIP24_2012_1838",51.64836124,-88.16235514,282.2239082,2012-06-10,2012,2012-06-10,2012-06-10,6,28.4720158018945,70.5584202727792,77.5860883253299
"415","RED69_2012_1839",52.97995913,-93.83770039,299.2420108,2012-07-14,2012,2012-07-14,2012-07-14,7,39.584601500869,89.5718257837703,201.105004890614
"416","SLK101_2012_1840",52.35410894,-91.30075801,395.9200291,2012-07-29,2012,2012-07-29,2012-07-29,7,58.6418409866534,86.8130939925423,207.644873319172
"417","KLK8_2012_1841",48.19071579,-80.06963399,331.4557715,2012-05-20,2012,2012-05-22,2012-05-22,5,27.4206733272519,69.7364195852021,121.270862277443
"418","RED53_2012_1842",52.91030348,-94.39703185,336.7852783,2012-07-14,2012,2012-07-15,2012-07-15,7,44.2053278870008,90.916527180334,225.099497117904
"419","RED61_2012_1843",53.46081937,-93.54408281,285.6397735,2012-07-14,2012,2012-07-18,2012-07-18,7,48.6690099614203,90.3262732936116,228.362983126587
"420","RED49_2012_1844",52.62137499,-93.9512101,338.2072951,2012-07-07,2012,2012-07-07,2012-07-07,7,37.7393300554885,87.9995269884421,162.347398738196
"421","RED57_2012_1845",52.92640767,-93.50950435,294.0229144,2012-07-07,2012,2012-07-20,2012-07-20,7,60.2806959958812,91.5444633829872,244.224292364888
"422","SLK91_2012_1846",51.85733658,-91.4110496,415.7068775,2012-07-24,2012,2012-07-29,2012-07-29,7,77.873439308894,93.1079606257633,208.30416578926
"423","NIP60_2012_1848",51.74458522,-86.954634,240.910503,2012-07-14,2012,2012-09-13,2012-09-13,9,40.3584488992282,87.5794041194853,386.356312372744
