"","Fire_ID","SweMax","doPS"
"337","SLK26_2017_2089",185.074868254439,118
"338","NIP99_2017_2094",194.115903294772,116
"339","SLK237_2017_1939",221.639614574726,118
"340","SLK45_2017_1940",160.255747700786,83
"341","RED23_2017_1941",36.0260125376154,364
"342","NIP78_2017_1942",229.322652031394,119
"343","NIP37_2017_1945",196.28190609809,119
"344","SLK187_2017_1946",114.622987788477,117
"345","SLK8_2017_1947",121.036232333015,83
"346","SLK32_2017_1948",78.3945244115061,83
"347","SLK42_2017_1949",238.038336039084,118
"348","SLK36_2017_1950",242.710587238476,118
"349","SLK129_2017_1951",129.810431480408,83
"350","NIP12_2017_1952",143.277543364978,116
"351","NIP40_2017_1953",215.123120264353,119
"352","NIP75_2017_1954",229.615303993225,116
"353","NIP46_2017_1955",195.350976681491,119
"354","SLK102_2017_1956",129.016749070274,118
"355","NIP64_2017_1957",166.910482749751,119
"356","SLK115_2017_2023",146.006317138672,118
"357","NIP32_2017_2024",243.993057273888,117
"358","RED34_2017_2025",74.3382728119577,80
"359","SLK200_2017_2026",208.128992729283,118
"360","NIP54_2017_2027",190.192698887416,119
"361","SLK175_2017_2072",133.98470333751,118
"362","THU58_2017_2073",258.890731490708,118
"363","SLK96_2017_2074",150.840921771031,119
"364","SLK43_2017_2075",214.929930304532,118
"365","SLK82_2017_2076",145.348251786343,118
"366","SLK23_2017_2077",162.905882448922,118
"367","NIP29_2017_2078",147.50059231352,119
"368","NIP77_2017_2079",240.470927910094,119
"369","NIP68_2017_2080",230.233827041794,117
"370","SLK122_2017_2081",143.843821693305,118
"371","SLK157_2017_2082",128.846871838791,118
"372","SLK44_2017_2083",198.431289161384,118
"373","NIP73_2017_2084",235.93613314988,117
"374","THU59_2017_2085",290.772666628055,118
"375","SLK64_2017_2086",142.34034187833,83
"376","THU61_2017_2087",282.464596664696,118
"377","RED87_2017_2088",88.3936950267101,83
"378","NIP9_2017_2090",241.627280927,119
"379","NIP39_2017_2091",198.444352849325,119
"380","RED69_2017_2092",72.6072610981834,80
"381","THU31_2017_2093",265.286570385037,118
"382","SLK103_2017_2095",115.810679060178,117
"383","SLK63_2017_2096",149.600467696613,118
"384","NIP98_2017_2097",168.05932593777,119
"385","RED56_2017_2098",64.1677788497949,80
"386","SLK7_2017_2099",102.142705678085,83
"387","SLK162_2017_2100",146.918671955995,118
"388","SLK68_2017_2101",158.814624688473,118
"389","RED103_2017_2102",72.7799135154343,80
"390","NIP65_2017_2103",166.529251270361,119
"391","NIP11_2017_2104",179.89352378981,119
"392","SLK38_2017_2105",242.67007200864,118
"393","SLK33_2017_2106",198.725586368844,118
"394","SLK17_2017_2107",159.222912094857,118
"395","SLK52_2017_2110",221.199267408273,118
"396","NIP38_2017_2111",195.538883680914,119
"397","NIP105_2017_2112",144.762458828812,128
"398","RED54_2017_2113",65.549361773217,76
"399","SLK37_2020_2160",108.685024760781,112
"400","THU4_2020_2161",115.557841506844,86
"401","RED12_2020_2194",86.2968118585692,112
"402","NIP47_2020_2196",181.970129241415,113
"403","SLK26_2020_2197",102.920906575973,113
"404","RED8_2020_2198",78.1763623170178,112
"405","RED24_2020_2199",80.5402171401685,112
"406","SLK36_2020_2200",98.0547313220395,112
"407","SLK25_2020_2201",99.037776360145,113
"408","NIP30_2020_2202",156.379377517025,113
"409","NIP46_2020_2203",171.068198179587,113
"410","RED29_2020_2204",81.586286257568,112
"411","SLK3_2020_2205",62.4955154146467,112
"412","NIP51_2020_2206",141.817038171085,113
"413","NIP26_2020_2207",91.124761525449,113
"414","NIP45_2020_2208",141.130567343802,113
"415","RED49_2020_2210",39.024238351098,95
"416","CHA3_2020_2213",166.136324935223,86
"417","SLK48_2020_2214",102.383678218861,112
"418","RED9_2020_2216",93.7835512278414,96
"419","SLK47_2020_2217",111.197659935889,112
"420","RED30_2020_2218",81.8232417550647,112
"421","RED22_2020_2195",95.573459445766,112
"422","RED18_2020_2209",98.9073160186863,112
"423","NIP40_2020_2211",161.067130342536,112
"424","COC11_2020_2212",89.932572277241,113
"425","COC12_2020_2215",82.9327797106265,113
"426","NOR68_2018_2028",150.924225494034,104
"427","RED110_2018_2030",88.5195988416672,364
"428","PEM7_2018_2038",124.270982706322,104
"429","NOR56_2018_2044",148.111255836134,104
"430","TIM6_2018_2045",174.945462443034,108
"431","NIP5_2018_2048",92.3248039206746,121
"432","NOR62_2018_2053",154.135209221911,104
"433","KEN71_2018_2063",46.0204829118067,61
"434","NIP10_2018_2066",113.666491645679,109
"435","PAR33_2018_2071",72.9323847312691,88
"436","SLK117_2018_2117",101.332667750518,364
"437","NOR69_2018_2119",141.042895570469,104
"438","NOR25_2018_2121",141.944015315322,104
"439","SUD83_2018_2125",158.502601623535,104
"440","SLK49_2018_2128",84.5470824180661,364
"441","NOR42_2018_2129",148.614342116997,104
"442","KEN77_2018_2140",43.6230805916216,61
"443","COC8_2018_2145",193.285666312655,111
"444","RED60_2018_2150",53.6836527345937,364
"445","NIP24_2018_2151",100.61750273869,108
"446","TIM12_2018_2153",156.648422764968,105
"447","RED115_2018_2156",83.7280179135085,364
"448","NOR72_2018_2035",149.654027866379,104
"449","NIP29_2018_2055",89.446861409533,109
"450","COC14_2018_2126",178.65840763726,111
"451","RED38_2018_2029",20.3769590220912,82
"452","NIP13_2018_2031",109.067152519465,110
"453","RED30_2018_2032",56.3707066563548,122
"454","RED108_2018_2033",50.7847481665852,364
"455","NIP37_2018_2034",97.6165137987458,108
"456","THU52_2018_2036",117.728433881611,364
"457","NIP40_2018_2037",103.666404609297,109
"458","FOR24_2018_2039",109.620066273036,106
"459","RED82_2018_2040",34.480239252452,232
"460","COC20_2018_2041",167.615312642368,111
"461","HEA12_2018_2042",175.561846538413,111
"462","SLK44_2018_2043",97.7795090875282,108
"463","SLK51_2018_2046",80.6703611288693,364
"464","SLK48_2018_2047",81.4281058616084,364
"465","RED80_2018_2049",43.9980053195781,364
"466","NIP32_2018_2050",82.8671716492158,121
"467","THU36_2018_2051",113.073754860123,364
"468","RED170_2018_2052",53.4966243269108,252
"469","SLK19_2018_2054",23.0900407559605,88
"470","SLK23_2018_2056",50.8363995143346,364
"471","NIP27_2018_2057",98.8834815683944,108
"472","SLK37_2018_2058",39.1130914587724,364
"473","NIP31_2018_2059",109.469275977006,109
"474","RED86_2018_2060",39.5619128097933,364
"475","RED103_2018_2061",47.071005902808,364
"476","SLK57_2018_2062",81.8552962583159,108
"477","RED97_2018_2064",44.0139436710198,364
"478","SLK68_2018_2065",94.6249670137485,364
"479","SLK53_2018_2067",77.9518642226163,108
"480","SLK18_2018_2068",54.6746878554384,364
"481","NOR46_2018_2069",130.897018353454,104
