"","Fire_ID","Fire_Year","Fire_Start","BurnDay","Snow_Acc","SnowAccDay","SnowMeltDay","Snow_Melt","SnowCoverDays","ymdPS","peakSnow","sweMean","sweMedian","doPS","tdps","tssm","avg_cmi","avg_vpd","avgBio","cc","age"
"66","COC9_2006_1654",2006,2006-05-10,129,2005-11-16,319,109,2006-04-20,155,2006-03-22,210.8134082,82.14080759,68.25,80,29,20,-0.23,5.3,70.1461334228516,58.0645751953125,61.8104248046875
"67","NIP411_2006_1657",2006,2006-09-13,255,2005-10-24,296,108,2006-04-19,177,2006-12-31,121.2735909,44.18630322,41.43999863,364,-256,147,-1.68,6.02,75.3895492553711,53.2446784973145,96.4326934814453
"68","NIP338_2006_1664",2006,2006-09-12,254,2005-11-17,320,85,2006-03-27,130,2006-12-01,51.53673364,16.68679466,4.190000057,334,-249,169,-1.26,6.35857142857143,50.1032943725586,37.5951309204102,60.1593208312988
"69","SLK48_2006_1681",2006,2006-08-31,242,2005-09-20,262,122,2006-05-03,225,2006-03-27,95.96955528,41.0272943,43.22000122,85,37,120,0.82,6.77,67.5546798706055,61.217830657959,91.6487655639648
"70","RED44_2006_1683",2006,2006-07-13,193,2005-10-01,273,108,2006-04-19,200,2006-03-06,104.5014798,40.13122595,31.48999977,64,44,85,-1.69,6.8125,44.8692436218262,39.1057510375977,70.3926315307617
"71","NIP81_2006_1684",2006,2006-07-16,196,2005-09-23,265,109,2006-04-20,209,2006-12-31,94.62521576,33.72909233,33.18999863,364,-255,87,-0.12,6.12,117.404296875,82.8785552978516,119.121353149414
"72","COC34_2006_1686",2006,2006-08-04,215,2005-11-09,312,109,2006-04-20,162,2006-03-21,154.1400947,56.50561302,47.18999863,79,30,106,-0.41,6.762,105.316284179688,70.2681045532227,119.583831787109
"73","THU133_2006_1688",2006,2006-09-11,253,2005-10-02,274,122,2006-05-03,213,2006-12-31,66.41711873,23.94521486,16.95166588,364,-242,131,-1.51,7.71,103.514778137207,74.2378463745117,79.0719299316406
"74","THU192_2006_1689",2006,2006-09-15,257,2005-10-30,302,106,2006-04-17,169,2006-12-31,77.10250557,27.6476543,21.39999962,364,-258,151,-1.16,7.11833333333333,105.117797851562,76.0439300537109,79.6642837524414
"75","DRY79_2006_1692",2006,2006-07-21,201,2005-09-22,264,108,2006-04-19,209,2006-03-05,86.1419258,28.10911091,7.675000191,63,45,93,-3.05,6.605,70.6218795776367,60.2110595703125,72.3149108886719
"76","SLK30_2006_1581",2006,2006-06-28,178,2005-09-29,271,115,2006-04-26,209,2006-03-27,88.560932,37.65348334,33.59999847,85,30,63,0.81,5.65,65.3806076049805,54.7609977722168,104.546295166016
"77","NIP365_2006_1574",2006,2006-09-15,257,2005-10-09,281,106,2006-04-17,190,2006-12-31,98.40424036,37.26188489,28.71999931,364,-258,151,-1.48,5.51833333333333,102.992805480957,68.3865737915039,99.2240905761719
"78","SLK45_2006_1599",2006,2006-07-09,189,2005-09-20,262,128,2006-05-09,231,2006-03-27,92.36859915,38.27660913,40.13333511,85,43,61,1.71,5.83333333333333,38.6539573669434,30.9690532684326,64.7077026367188
