"","Fire_ID","BurnDay"
"683","NIP23_2009_1708",167
"684","NIP21_2009_1709",167
"685","NIP20_2009_1710",167
"686","NIP19_2009_1711",167
"687","SLK23_2009_1712",175
"688","NIP13_2009_1713",169
"689","NIP14_2009_1714",169
"690","SLK26_2009_1715",174
"691","RED10_2009_1716",171
"692","NIP10_2009_1717",169
"693","NIP12_2009_1718",167
"694","COC37_2005_1533",197
"695","COC14_2009_1703",174
"696","CHA10_2010_1589",132
"697","NIP73_2001_41",201
"698","SLK45_2001_44",200
"699","NIP72_2001_68",201
"700","NIP74_2001_70",201
"701","NIP53_2001_1",160
"702","NIP39_2001_2",160
"703","NIP35_2001_5",160
"704","NIP24_2001_7",160
"705","KLK2_2001_10",119
"706","PEM3_2001_11",115
"707","SLK3_2001_39",196
"708","NIP26_2001_47",160
"709","COC15_2001_48",160
"710","PET1_2001_50",208
"711","SLK44_2001_67",201
"712","SLK47_2001_69",201
"713","RED39_2002_90",195
"714","RED23_2002_168",196
"715","RED21_2002_170",197
"716","RED66_2002_181",197
"717","RED5_2002_185",189
"718","RED27_2002_191",197
"719","NIP16_2002_77",153
"720","DRY10_2002_75",151
"721","RED47_2002_92",197
"722","THU16_2002_102",143
"723","RED60_2002_175",196
"724","NIP52_2001_3",159
"725","NIP54_2001_40",159
"726","RED60_2001_42",201
"727","SLK24_2001_43",160
"728","NIP22_2001_46",160
"729","RED61_2001_65",198
"730","NIP55_2001_66",159
"731","RED48_2001_72",171
"732","NIP77_2001_49",204
"733","SLK5_2002_12",186
"734","SLK6_2002_13",198
"735","SLK7_2002_14",196
"736","SLK1_2002_16",191
"737","SLK8_2002_18",201
"738","SLK2_2002_51",178
"739","SLK3_2002_52",178
"740","SLK36_2002_56",187
"741","NIP83_2002_88",198
"742","RED40_2002_91",197
"743","NIP38_2002_97",185
"744","NIP55_2002_164",193
"745","SLK70_2002_166",198
"746","RED56_2002_167",196
"747","RED41_2002_169",195
"748","RED63_2002_171",197
"749","SLK19_2002_172",185
"750","NIP56_2002_174",192
"751","NIP101_2002_176",199
"752","SLK21_2002_177",179
"753","SLK68_2002_178",196
"754","SLK54_2002_179",197
"755","NIP48_2002_180",186
"756","NIP47_2002_182",185
"757","RED38_2002_186",195
"758","NIP79_2002_189",197
"759","RED34_2002_190",195
"760","SLK11_2002_54",169
"761","SLK12_2002_55",169
"762","RED55_2002_95",198
"763","NIP81_2002_96",198
"764","COC9_2002_100",182
"765","PEM9_2002_104",222
"766","NIP54_2002_173",189
"767","SLK17_2002_193",181
"768","SLK5_2001_38",201
"769","SLK1_2001_63",200
"770","SLK4_2001_64",201
"771","SLK47_2002_73",193
"772","SLK6_2001_37",200
"773","RED1_2002_15",197
"774","SLK4_2002_17",186
"775","COC12_2002_53",189
"776","COC19_2002_74",192
"777","SLK31_2002_89",189
"778","NIP51_2002_94",190
"779","RED57_2002_163",197
"780","SLK30_2002_184",189
"781","RED37_2002_187",194
"782","NIP85_2002_103",199
"783","NIP75_2002_76",196
