"","X.1","X","Fire_ID","Fire_Year","Fire_Start","BurnDay","SnowAccDay","sdd","scf","tssm","sweMean","sweMedian","avgBio","cc","age","tri","ppt_tsm","tmax_tsm","RBR_median","RBR_quant","RBR_cv","FIRE_FINAL","size_class","dmc","ffmc","dc","pyroregion","ecoregion"
"68",68,68,"RED44_2006_1683",2006,"2006-07-13",193,273,100,0.44,93,40.13122595,31.48999977,44.8692436218262,39.1057510375977,70.3926315307617,16.868091583252,194.810444311658,20.1650099658179,243.3275817,342.936869066691,0.455159485,4995,2,48.4932400863596,89.4760132299231,240.58863921983,1,"Lake Wabigoon"
"69",69,69,"NIP81_2006_1684",2006,"2006-07-16",196,265,108,0.47,88,33.72909233,33.18999863,117.404296875,82.8785552978516,119.121353149414,12.7531843185425,160.326896142728,18.737007782377,253.3158635,359.500762107881,0.440714061,56,1,35.4904717734821,89.8986282749462,263.631769275092,1,"Big Trout Lake"
"70",70,70,"COC34_2006_1686",2006,"2006-08-04",215,312,110,0.43,105,56.50561302,47.18999863,105.316284179688,70.2681045532227,119.583831787109,3,215.293271250884,20.4611730129919,266.0017082,515.12239269356,0.495104283,60,1,21.3914277209637,88.1401824318802,247.598653370801,0,"Lake Abitibi"
"71",71,71,"THU133_2006_1688",2006,"2006-09-11",253,274,103,0.44,150,23.94521486,16.95166588,103.514778137207,74.2378463745117,79.0719299316406,78.7088851928711,212.696074968638,21.456292740473,93.96305243,137.60068123847,0.393851906,388,1,49.1117356603743,86.7941122143891,420.097382273004,1,"Lake Nipigon"
"72",72,72,"THU192_2006_1689",2006,"2006-09-15",257,302,105,0.45,152,27.6476543,21.39999962,105.117797851562,76.0439300537109,79.6642837524414,47.8156051635742,229.40377550971,20.6351284643803,92.11361295,160.144471160632,0.579822004,300,1,59.7087101548137,88.0364578253562,443.889481110148,1,"Lake Nipigon"
"73",73,73,"DRY79_2006_1692",2006,"2006-07-21",201,264,98,0.4,103,28.10911091,7.675000191,70.6218795776367,60.2110595703125,72.3149108886719,40.8165626525879,189.606455778833,21.4363951456398,407.7668074,538.257798668006,0.349723935,2326,2,57.2160359115688,87.510563583865,313.650962431595,1,"Lake Wabigoon"
"74",74,74,"SLK30_2006_1581",2006,"2006-06-28",178,271,105,0.46,73,37.65348334,33.59999847,65.3806076049805,54.7609977722168,104.546295166016,6.16362428665161,165.20224169468,17.8490887771543,117.591877,469.266583706393,0.864943981,550,2,15.112375941822,78.3929169748214,161.133206746095,0,"Lake St. Joseph"
"75",75,75,"NIP365_2006_1574",2006,"2006-09-15",257,281,99,0.42,158,37.26188489,28.71999931,102.992805480957,68.3865737915039,99.2240905761719,62.7690010070801,263.520465095231,19.7859915916562,169.9644971,230.201565382553,0.368136287,746,2,46.1094346380148,86.1321281206227,473.144072745056,1,"Lake Nipigon"
"76",76,76,"SLK45_2006_1599",2006,"2006-07-09",189,262,109,0.46,80,38.27660913,40.13333511,38.6539573669434,30.9690532684326,64.7077026367188,5.89399147033691,133.400841920692,17.9562830004776,51.64338691,265.368507440387,1.044965982,93,1,5.30333758966705,12.2848124947577,50.9733925376641,1,"Big Trout Lake"
"77",77,77,"RED184_2006_1678",2006,"2006-09-06",248,287,105,0.44,143,34.27146112,21.82500076,41.8155403137207,37.1669998168945,77.3966598510742,21.8016948699951,296.612484350024,20.4557072241702,105.8090533,200.952661470404,0.555890739,936,2,38.1670768742276,87.9251578012883,334.797524320547,0,NA
