"","long","lat","V3","DATE"
"174",-91.34368539,52.02196606,1.40872272910627,"2006-06-27"
"175",-88.29292533,51.07196987,8.07851531940353,"2006-07-13"
"271",-94.80875787,50.86318909,9.79017883996536,"2006-07-13"
"176",-88.63755069,48.69394318,11.9347722879018,"2007-05-08"
"180",-77.47046147,45.91907329,22.5152270091433,"2007-05-08"
"177",-80.88621238,48.5875106,14.7498858796386,"2007-05-23"
"178",-81.6368678,46.87953676,11.7907336173889,"2007-05-19"
"179",-83.30047957,46.81441261,0.007629483355033,"2007-05-15"
"181",-83.072632,48.56793679,8.76747378781086,"2010-05-12"
"182",-89.00490513,53.65252565,1.18370783276581,"2006-09-09"
"190",-88.99864941,48.97783924,1.22676947613134,"2006-09-09"
"210",-91.49828897,48.21696063,2.03784683434877,"2006-09-09"
"227",-89.24346795,49.52626929,1.99059366179118,"2006-09-09"
"251",-87.81878764,49.30429878,1.21119766498066,"2006-09-09"
"277",-88.99618963,49.93586594,2.33326406369563,"2006-09-09"
"183",-91.03858604,50.20016903,7.3763794469644,"2006-08-30"
"269",-91.28341629,52.67926219,4.87351480501819,"2006-08-30"
"184",-87.52933136,50.17502966,7.59099100546891,"2006-08-06"
"185",-89.60787943,53.82545977,3.89492543658792,"2006-07-14"
"263",-89.08310482,53.14562432,6.05580219566499,"2006-07-14"
"186",-93.88322894,52.61796984,7.44367853496939,"2006-06-14"
"187",-93.28460009,52.36731162,2.87691032432284,"2006-06-17"
"189",-89.31436255,49.19810859,4.91317689366952,"2006-09-13"
"222",-90.09157171,49.54147504,5.36549864490182,"2006-09-13"
"245",-86.55246839,49.27992293,4.39921847479957,"2006-09-13"
"191",-89.2896636,53.88434297,0.103955575171594,"2006-07-08"
"197",-88.85733211,49.19402024,3.18785310124035,"2006-09-16"
"224",-88.97003455,49.56910007,3.1862616442392,"2006-09-16"
"231",-86.70372118,49.4517225,3.86759473512295,"2006-09-16"
"234",-88.92812239,49.37892766,3.19595097990371,"2006-09-16"
"243",-87.33587295,49.34901602,3.88754177560864,"2006-09-16"
"207",-91.83062334,48.26338019,5.80033632447831,"2006-07-06"
"265",-94.66239319,52.84516316,4.84775149382885,"2006-07-06"
"208",-91.30262513,48.23716124,4.8041697169727,"2006-09-11"
"213",-91.33055333,48.18956735,4.8723745879327,"2006-09-11"
"225",-88.62655642,49.56051836,4.96558636603707,"2006-09-11"
"274",-88.28870103,50.16968699,5.38664375853454,"2006-09-11"
"275",-88.89446777,49.99334957,5.83501116444122,"2006-09-11"
"209",-91.45642832,48.2456074,8.04795659395645,"2006-07-18"
"211",-91.42502753,48.22615055,8.05798170777984,"2006-07-18"
"214",-91.24511578,48.1572412,8.11557383228575,"2006-07-18"
"239",-87.01256311,49.39692215,4.29204028502286,"2006-07-18"
"261",-92.73222518,53.18570292,3.92944933860916,"2006-07-18"
"212",-91.34107128,48.21256958,4.58083734137487,"2006-07-12"
"215",-92.60046136,52.59242813,5.27047160451578,"2006-09-12"
"223",-88.97729134,49.59776878,4.27953691657288,"2006-09-12"
"230",-90.24608467,49.4396708,4.53306745044422,"2006-09-12"
"252",-88.82969639,49.37743359,3.941462153826,"2006-09-12"
"216",-94.50494135,52.59165237,8.51083716534864,"2006-09-04"
"270",-93.74164521,52.71036011,8.4806437960309,"2006-09-04"
"217",-94.81980211,52.53160732,6.62048254907671,"2006-08-31"
"264",-94.38749868,52.86943637,6.44317385668764,"2006-08-31"
"218",-93.87391978,52.47184761,0.305876095966195,"2006-08-26"
"219",-93.50947505,52.53580148,0.381478401665606,"2006-08-26"
"246",-90.52710679,50.1685661,6.40925597781495,"2007-05-11"
"247",-91.83607474,49.46035424,10.8300174318549,"2007-05-05"
"248",-88.59489404,48.95830584,14.1668002187637,"2007-05-10"
"250",-90.7357205,48.17089216,13.113355146644,"2007-05-10"
"249",-89.26044398,48.86729309,12.5372837459828,"2007-05-13"
"253",-93.29834541,53.70764489,0.465789160078683,"2008-06-20"
"254",-91.21707832,51.56523155,1.01815889367506,"2008-08-31"
"255",-89.79258858,53.36845528,4.16148117539342,"2008-08-17"
"256",-89.63359466,50.51744587,3.65198081078105,"2008-08-22"
"257",-90.03623414,52.66207237,19.9568740586526,"2011-07-16"
"285",-91.1527453,52.72411558,11.0173402480653,"2011-07-16"
"365",-90.92919378,53.38747097,14.115074476213,"2011-07-16"
"388",-89.74297791,52.67350357,19.9562469729583,"2011-07-16"
"391",-89.62379863,52.62368746,20.6555213445552,"2011-07-16"
"395",-92.73688936,52.18363955,11.6551979370111,"2011-07-16"
"396",-93.0225063,52.12090307,10.7587540265298,"2011-07-16"
"258",-92.98334888,52.11414684,18.1744110002951,"2011-07-03"
"307",-93.77156549,52.28988021,10.3040557791914,"2011-07-03"
"371",-89.27639325,52.41115055,15.9723234652419,"2011-07-03"
"380",-94.00216685,53.14553282,5.33062213900678,"2011-07-03"
"259",-93.50800497,52.61293345,5.62794246407062,"2011-07-04"
"287",-94.12126898,52.54198035,5.67252590710786,"2011-07-04"
"288",-93.65084919,52.45000745,5.80145872746255,"2011-07-04"
"308",-92.53840633,52.22079618,6.31706799108512,"2011-07-04"
"368",-89.82691146,53.29968288,5.51045234176188,"2011-07-04"
"379",-94.1827659,53.11147256,4.955975087136,"2011-07-04"
"405",-90.77686433,51.41660954,6.76917092150958,"2011-07-04"
"260",-92.13078169,53.71587803,9.89479444082407,"2006-07-15"
